id	basisOfRecord	dynamicProperties	occurrenceID	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	vitality	georeferenceVerificationStatus	occurrenceStatus	associatedMedia	associatedReferences	occurrenceRemarks	eventDate	eventTime	year	month	day	verbatimEventDate	samplingProtocol	continent	country	locality	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	taxonID	scientificName	taxonRank	vernacularName
2022-03-15_Avian_基隆海域_11	HumanObservation	{heightInMeters:, distanceInMeters:500, azimuth:SW, angleWithShip:11}	2022-03-15_Avian_基隆海域_11	研海生態顧問股份有限公司	2						飛行							2022-03-15	11:00	2022	3	15	2022-03-15		Asia	Taiwan	基隆海域			25.570472	122.102889	WGS84	1	0.000001	KL_Avian_0000084	Sula dactylatra	species	藍臉鰹鳥
2022-03-15_Avian_基隆海域_12	HumanObservation	{heightInMeters:10, distanceInMeters:50, azimuth:E, angleWithShip:3}	2022-03-15_Avian_基隆海域_12	研海生態顧問股份有限公司	1						飛行							2022-03-15	11:30	2022	3	15	2022-03-15		Asia	Taiwan	基隆海域			25.559	122.127	WGS84	1	0.000001	KL_Avian_0000230	Emberiza pusilla	species	小鵐
2022-03-15_Avian_基隆海域_13	HumanObservation	{heightInMeters:1, distanceInMeters:300, azimuth:SE, angleWithShip:12}	2022-03-15_Avian_基隆海域_13	研海生態顧問股份有限公司	1						飛行							2022-03-15	11:38	2022	3	15	2022-03-15		Asia	Taiwan	基隆海域			25.53775	122.118667	WGS84	1	0.000001	KL_Avian_0000079	Calonectris leucomelas	species	大水薙鳥
2022-03-15_Avian_基隆海域_14	HumanObservation	{heightInMeters:, distanceInMeters:400, azimuth:N, angleWithShip:8}	2022-03-15_Avian_基隆海域_14	研海生態顧問股份有限公司	1						飛行							2022-03-15	12:23	2022	3	15	2022-03-15		Asia	Taiwan	基隆海域			25.49	122.099056	WGS84	1	0.000001	KL_Avian_0000084	Sula dactylatra	species	藍臉鰹鳥
2022-03-15_Avian_基隆海域_15	HumanObservation	{heightInMeters:, distanceInMeters:100, azimuth:NE, angleWithShip:2}	2022-03-15_Avian_基隆海域_15	研海生態顧問股份有限公司	1						飛行							2022-03-15	12:42	2022	3	15	2022-03-15		Asia	Taiwan	基隆海域			25.485833	122.098944	WGS84	1	0.000001	KL_Avian_0000084	Sula dactylatra	species	藍臉鰹鳥
2022-03-15_Avian_基隆海域_16	HumanObservation	{heightInMeters:0, distanceInMeters:200, azimuth:X, angleWithShip:11}	2022-03-15_Avian_基隆海域_16	研海生態顧問股份有限公司	1						停棲海面							2022-03-15	13:22	2022	3	15	2022-03-15		Asia	Taiwan	基隆海域			25.457	122.036194	WGS84	1	0.000001	KL_Avian_0000079	Calonectris leucomelas	species	大水薙鳥
2022-03-15_Avian_基隆海域_17	HumanObservation	{heightInMeters:1, distanceInMeters:500, azimuth:W, angleWithShip:1}	2022-03-15_Avian_基隆海域_17	研海生態顧問股份有限公司	1						飛行							2022-03-15	13:31	2022	3	15	2022-03-15		Asia	Taiwan	基隆海域			25.451	122.012944	WGS84	1	0.000001	KL_Avian_0000079	Calonectris leucomelas	species	大水薙鳥
2022-03-15_Avian_基隆海域_18	HumanObservation	{heightInMeters:1, distanceInMeters:200, azimuth:W, angleWithShip:11}	2022-03-15_Avian_基隆海域_18	研海生態顧問股份有限公司	1						飛行							2022-03-15	13:38	2022	3	15	2022-03-15		Asia	Taiwan	基隆海域			25.44625	121.9955	WGS84	1	0.000001	KL_Avian_0000079	Calonectris leucomelas	species	大水薙鳥
2022-03-15_Avian_基隆海域_19	HumanObservation	{heightInMeters:10, distanceInMeters:100, azimuth:SE, angleWithShip:10}	2022-03-15_Avian_基隆海域_19	研海生態顧問股份有限公司	1						飛行							2022-03-15	14:05	2022	3	15	2022-03-15		Asia	Taiwan	基隆海域			25.422306	121.944917	WGS84	1	0.000001	KL_Avian_0000149	Hirundo rustica	species	家燕
2022-03-15_Avian_基隆海域_20	HumanObservation	{heightInMeters:30, distanceInMeters:250, azimuth:S, angleWithShip:2}	2022-03-15_Avian_基隆海域_20	研海生態顧問股份有限公司	1						飛行							2022-03-15	14:09	2022	3	15	2022-03-15		Asia	Taiwan	基隆海域			25.427556	121.945167	WGS84	1	0.000001	KL_Avian_0000085	Sula leucogaster	species	白腹鰹鳥
2022-03-15_Avian_基隆海域_21	HumanObservation	{heightInMeters:1, distanceInMeters:400, azimuth:SE, angleWithShip:12}	2022-03-15_Avian_基隆海域_21	研海生態顧問股份有限公司	1						飛行							2022-03-15	14:40	2022	3	15	2022-03-15		Asia	Taiwan	基隆海域			25.349667	121.909861	WGS84	1	0.000001	KL_Avian_0000079	Calonectris leucomelas	species	大水薙鳥
2022-03-15_Avian_基隆海域_22	HumanObservation	{heightInMeters:1, distanceInMeters:400, azimuth:NW, angleWithShip:11}	2022-03-15_Avian_基隆海域_22	研海生態顧問股份有限公司	7						飛行							2022-03-15	14:44	2022	3	15	2022-03-15		Asia	Taiwan	基隆海域			25.3395	121.905139	WGS84	1	0.000001	KL_Avian_0000079	Calonectris leucomelas	species	大水薙鳥
2022-03-15_Avian_基隆海域_23	HumanObservation	{heightInMeters:0, distanceInMeters:20, azimuth:X, angleWithShip:12}	2022-03-15_Avian_基隆海域_23	研海生態顧問股份有限公司	3						停棲海面							2022-03-15	15:05	2022	3	15	2022-03-15		Asia	Taiwan	基隆海域			25.322278	121.89975	WGS84	1	0.000001	KL_Avian_0000051	Phalaropus lobatus	species	紅領瓣足鷸
2022-03-15_Avian_基隆海域_24	HumanObservation	{heightInMeters:50, distanceInMeters:200, azimuth:S, angleWithShip:2}	2022-03-15_Avian_基隆海域_24	研海生態顧問股份有限公司	1						飛行							2022-03-15	15:09	2022	3	15	2022-03-15		Asia	Taiwan	基隆海域			25.312361	121.895639	WGS84	1	0.000001	KL_Avian_0000062	Larus crassirostris	species	黑尾鷗
2022-03-15_Avian_基隆海域_25	HumanObservation	{heightInMeters:1, distanceInMeters:200, azimuth:NE, angleWithShip:11}	2022-03-15_Avian_基隆海域_25	研海生態顧問股份有限公司	1						飛行							2022-03-15	15:57	2022	3	15	2022-03-15		Asia	Taiwan	基隆海域			25.2845	121.897139	WGS84	1	0.000001	KL_Avian_0000079	Calonectris leucomelas	species	大水薙鳥
2022-03-15_Avian_基隆海域_26	HumanObservation	{heightInMeters:1, distanceInMeters:300, azimuth:SE, angleWithShip:11}	2022-03-15_Avian_基隆海域_26	研海生態顧問股份有限公司	2						飛行							2022-03-15	16:11	2022	3	15	2022-03-15		Asia	Taiwan	基隆海域			25.29025	121.890167	WGS84	1	0.000001	KL_Avian_0000079	Calonectris leucomelas	species	大水薙鳥
2022-03-15_Avian_基隆海域_27	HumanObservation	{heightInMeters:1, distanceInMeters:250, azimuth:SE, angleWithShip:1}	2022-03-15_Avian_基隆海域_27	研海生態顧問股份有限公司	1						飛行							2022-03-15	16:16	2022	3	15	2022-03-15		Asia	Taiwan	基隆海域			25.279472	121.883167	WGS84	1	0.000001	KL_Avian_0000079	Calonectris leucomelas	species	大水薙鳥
2022-06-04_Avian_基隆海域_28	HumanObservation	{heightInMeters:0-5, distanceInMeters:>300, azimuth:SW, angleWithShip:9}	2022-06-04_Avian_基隆海域_28	研海生態顧問股份有限公司	1						飛行							2022-06-04	05:51	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.196444	121.812194	WGS84	1	0.000001	KL_Avian_0000098	Bubulcus ibis	species	黃頭鷺
2022-06-04_Avian_基隆海域_29	HumanObservation	{heightInMeters:10-20, distanceInMeters:>300, azimuth:SE, angleWithShip:10}	2022-06-04_Avian_基隆海域_29	研海生態顧問股份有限公司	1						飛行							2022-06-04	06:11	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.243944	121.855611	WGS84	1	0.000001	KL_Avian_0000074	Thalasseus bergii	species	鳳頭燕鷗
2022-06-04_Avian_基隆海域_30	HumanObservation	{heightInMeters:20-50, distanceInMeters:100, azimuth:E, angleWithShip:1}	2022-06-04_Avian_基隆海域_30	研海生態顧問股份有限公司	1						飛行							2022-06-04	06:39	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.310639	121.919806	WGS84	1	0.000001	KL_Avian_0000073	Sterna hirundo	species	燕鷗
2022-06-04_Avian_基隆海域_31	HumanObservation	{heightInMeters:20-50, distanceInMeters:<50, azimuth:NE, angleWithShip:11}	2022-06-04_Avian_基隆海域_31	研海生態顧問股份有限公司	1						飛行							2022-06-04	07:04	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.368028	121.975139	WGS84	1	0.000001	KL_Avian_0000074	Thalasseus bergii	species	鳳頭燕鷗
2022-06-04_Avian_基隆海域_32	HumanObservation	{heightInMeters:0-5, distanceInMeters:>500, azimuth:S, angleWithShip:2}	2022-06-04_Avian_基隆海域_32	研海生態顧問股份有限公司	1						飛行							2022-06-04	07:24	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.408583	122.02075	WGS84	1	0.000001	KL_Avian_0000078	Bulweria bulwerii	species	穴鳥
2022-06-04_Avian_基隆海域_33	HumanObservation	{heightInMeters:0, distanceInMeters:>300, azimuth:X, angleWithShip:2}	2022-06-04_Avian_基隆海域_33	研海生態顧問股份有限公司	1						停棲在其他海漂物							2022-06-04	07:24	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.408583	122.02075	WGS84	1	0.000001	KL_Avian_0000085	Sula leucogaster	species	白腹鰹鳥
2022-06-04_Avian_基隆海域_34	HumanObservation	{heightInMeters:0-5, distanceInMeters:>300, azimuth:X, angleWithShip:12}	2022-06-04_Avian_基隆海域_34	研海生態顧問股份有限公司	3						盤旋							2022-06-04	07:25	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.411722	122.024833	WGS84	1	0.000001	KL_Avian_0000085	Sula leucogaster	species	白腹鰹鳥
2022-06-04_Avian_基隆海域_35	HumanObservation	{heightInMeters:20-50, distanceInMeters:>300, azimuth:S, angleWithShip:11}	2022-06-04_Avian_基隆海域_35	研海生態顧問股份有限公司	1						飛行							2022-06-04	07:27	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.414056	122.027806	WGS84	1	0.000001	KL_Avian_0000074	Thalasseus bergii	species	鳳頭燕鷗
2022-06-04_Avian_基隆海域_36	HumanObservation	{heightInMeters:0-5, distanceInMeters:200, azimuth:N, angleWithShip:9}	2022-06-04_Avian_基隆海域_36	研海生態顧問股份有限公司	1						飛行							2022-06-04	07:29	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.418944	122.033917	WGS84	1	0.000001	KL_Avian_0000085	Sula leucogaster	species	白腹鰹鳥
2022-06-04_Avian_基隆海域_37	HumanObservation	{heightInMeters:0-5, distanceInMeters:>300, azimuth:NW, angleWithShip:11}	2022-06-04_Avian_基隆海域_37	研海生態顧問股份有限公司	2						飛行							2022-06-04	07:32	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.424	122.040194	WGS84	1	0.000001	KL_Avian_0000074	Thalasseus bergii	species	鳳頭燕鷗
2022-06-04_Avian_基隆海域_38	HumanObservation	{heightInMeters:0, distanceInMeters:300, azimuth:X, angleWithShip:11}	2022-06-04_Avian_基隆海域_38	研海生態顧問股份有限公司	1						海上漂浮							2022-06-04	07:36	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.432139	122.050333	WGS84	1	0.000001	KL_Avian_0000085	Sula leucogaster	species	白腹鰹鳥
2022-06-04_Avian_基隆海域_39	HumanObservation	{heightInMeters:5-10, distanceInMeters:50, azimuth:NE, angleWithShip:11}	2022-06-04_Avian_基隆海域_39	研海生態顧問股份有限公司	3						飛行							2022-06-04	07:41	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.437528	122.057833	WGS84	1	0.000001	KL_Avian_0000074	Thalasseus bergii	species	鳳頭燕鷗
2022-06-04_Avian_基隆海域_40	HumanObservation	{heightInMeters:0, distanceInMeters:50, azimuth:X, angleWithShip:11}	2022-06-04_Avian_基隆海域_40	研海生態顧問股份有限公司	1						海上漂浮							2022-06-04	07:41	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.437528	122.057833	WGS84	1	0.000001	KL_Avian_0000085	Sula leucogaster	species	白腹鰹鳥
2022-06-04_Avian_基隆海域_41	HumanObservation	{heightInMeters:0-5, distanceInMeters:150, azimuth:SE, angleWithShip:1}	2022-06-04_Avian_基隆海域_41	研海生態顧問股份有限公司	1						飛行							2022-06-04	07:51	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.439528	122.057833	WGS84	1	0.000001	KL_Avian_0000085	Sula leucogaster	species	白腹鰹鳥
2022-06-04_Avian_基隆海域_42	HumanObservation	{heightInMeters:0-5, distanceInMeters:150, azimuth:X, angleWithShip:7}	2022-06-04_Avian_基隆海域_42	研海生態顧問股份有限公司	3						覓食							2022-06-04	08:14	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.485722	122.100556	WGS84	1	0.000001	KL_Avian_0000085	Sula leucogaster	species	白腹鰹鳥
2022-06-04_Avian_基隆海域_43	HumanObservation	{heightInMeters:10, distanceInMeters:200, azimuth:X, angleWithShip:10}	2022-06-04_Avian_基隆海域_43	研海生態顧問股份有限公司	1						飛行							2022-06-04	08:21	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.487444	122.101889	WGS84	1	0.000001	KL_Avian_0000085	Sula leucogaster	species	白腹鰹鳥
2022-06-04_Avian_基隆海域_44	HumanObservation	{heightInMeters:0-5, distanceInMeters:300, azimuth:SW, angleWithShip:10}	2022-06-04_Avian_基隆海域_44	研海生態顧問股份有限公司	3						飛行							2022-06-04	08:47	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.476111	122.098694	WGS84	1	0.000001	KL_Avian_0000085	Sula leucogaster	species	白腹鰹鳥
2022-06-04_Avian_基隆海域_45	HumanObservation	{heightInMeters:10, distanceInMeters:250, azimuth:SW, angleWithShip:11}	2022-06-04_Avian_基隆海域_45	研海生態顧問股份有限公司	6						飛行							2022-06-04	08:50	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.469611	122.099944	WGS84	1	0.000001	KL_Avian_0000085	Sula leucogaster	species	白腹鰹鳥
2022-06-04_Avian_基隆海域_46	HumanObservation	{heightInMeters:20-50, distanceInMeters:300, azimuth:NE, angleWithShip:1}	2022-06-04_Avian_基隆海域_46	研海生態顧問股份有限公司	1						飛行							2022-06-04	08:57	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.464667	122.099778	WGS84	1	0.000001	KL_Avian_0000074	Thalasseus bergii	species	鳳頭燕鷗
2022-06-04_Avian_基隆海域_47	HumanObservation	{heightInMeters:0-5, distanceInMeters:100, azimuth:NE, angleWithShip:6}	2022-06-04_Avian_基隆海域_47	研海生態顧問股份有限公司	2						飛行							2022-06-04	09:01	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.455583	122.105306	WGS84	1	0.000001	KL_Avian_0000085	Sula leucogaster	species	白腹鰹鳥
2022-06-04_Avian_基隆海域_48	HumanObservation	{heightInMeters:0-5, distanceInMeters:500, azimuth:W, angleWithShip:10}	2022-06-04_Avian_基隆海域_48	研海生態顧問股份有限公司	4						飛行							2022-06-04	09:09	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.439417	122.084444	WGS84	1	0.000001	KL_Avian_0000085	Sula leucogaster	species	白腹鰹鳥
2022-06-04_Avian_基隆海域_49	HumanObservation	{heightInMeters:0-5, distanceInMeters:300, azimuth:NW, angleWithShip:10}	2022-06-04_Avian_基隆海域_49	研海生態顧問股份有限公司	4						飛行							2022-06-04	09:14	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.433778	122.071111	WGS84	1	0.000001	KL_Avian_0000085	Sula leucogaster	species	白腹鰹鳥
2022-06-04_Avian_基隆海域_50	HumanObservation	{heightInMeters:10, distanceInMeters:500, azimuth:NW, angleWithShip:10}	2022-06-04_Avian_基隆海域_50	研海生態顧問股份有限公司	1						飛行							2022-06-04	09:17	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.428472	122.058472	WGS84	1	0.000001	KL_Avian_0000085	Sula leucogaster	species	白腹鰹鳥
2022-06-04_Avian_基隆海域_51	HumanObservation	{heightInMeters:50-100, distanceInMeters:200, azimuth:NE, angleWithShip:7}	2022-06-04_Avian_基隆海域_51	研海生態顧問股份有限公司	1						飛行							2022-06-04	09:22	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.423556	122.051972	WGS84	1	0.000001	KL_Avian_0000237	Accipitridae	family	鷹科
2022-06-04_Avian_基隆海域_52	HumanObservation	{heightInMeters:20, distanceInMeters:100, azimuth:SW, angleWithShip:10}	2022-06-04_Avian_基隆海域_52	研海生態顧問股份有限公司	1						飛行							2022-06-04	09:22	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.423556	122.051972	WGS84	1	0.000001	KL_Avian_0000074	Thalasseus bergii	species	鳳頭燕鷗
2022-06-04_Avian_基隆海域_53	HumanObservation	{heightInMeters:0-20, distanceInMeters:500, azimuth:X, angleWithShip:11}	2022-06-04_Avian_基隆海域_53	研海生態顧問股份有限公司	4						覓食							2022-06-04	09:29	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.419083	122.042889	WGS84	1	0.000001	KL_Avian_0000085	Sula leucogaster	species	白腹鰹鳥
2022-06-04_Avian_基隆海域_54	HumanObservation	{heightInMeters:0, distanceInMeters:250, azimuth:X, angleWithShip:3}	2022-06-04_Avian_基隆海域_54	研海生態顧問股份有限公司	1						海上漂浮							2022-06-04	09:29	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.419083	122.042889	WGS84	1	0.000001	KL_Avian_0000084	Sula dactylatra	species	藍臉鰹鳥
2022-06-04_Avian_基隆海域_55	HumanObservation	{heightInMeters:0, distanceInMeters:200, azimuth:X, angleWithShip:10}	2022-06-04_Avian_基隆海域_55	研海生態顧問股份有限公司	2						海上漂浮							2022-06-04	10:14	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.409333	122.047944	WGS84	1	0.000001	KL_Avian_0000084	Sula dactylatra	species	藍臉鰹鳥
2022-06-04_Avian_基隆海域_56	HumanObservation	{heightInMeters:0-10, distanceInMeters:200, azimuth:X, angleWithShip:9}	2022-06-04_Avian_基隆海域_56	研海生態顧問股份有限公司	5						覓食							2022-06-04	10:14	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.409333	122.047944	WGS84	1	0.000001	KL_Avian_0000085	Sula leucogaster	species	白腹鰹鳥
2022-06-04_Avian_基隆海域_57	HumanObservation	{heightInMeters:30, distanceInMeters:200, azimuth:NE, angleWithShip:7}	2022-06-04_Avian_基隆海域_57	研海生態顧問股份有限公司	1						飛行							2022-06-04	10:32	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.412667	122.048972	WGS84	1	0.000001	KL_Avian_0000074	Thalasseus bergii	species	鳳頭燕鷗
2022-06-04_Avian_基隆海域_58	HumanObservation	{heightInMeters:0-10, distanceInMeters:250, azimuth:S, angleWithShip:12}	2022-06-04_Avian_基隆海域_58	研海生態顧問股份有限公司	1						飛行							2022-06-04	10:45	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.399694	122.066889	WGS84	1	0.000001	KL_Avian_0000085	Sula leucogaster	species	白腹鰹鳥
2022-06-04_Avian_基隆海域_59	HumanObservation	{heightInMeters:0-5, distanceInMeters:300, azimuth:N, angleWithShip:11}	2022-06-04_Avian_基隆海域_59	研海生態顧問股份有限公司	1						飛行							2022-06-04	10:45	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.399694	122.066889	WGS84	1	0.000001	KL_Avian_0000085	Sula leucogaster	species	白腹鰹鳥
2022-06-04_Avian_基隆海域_60	HumanObservation	{heightInMeters:0, distanceInMeters:300, azimuth:X, angleWithShip:1}	2022-06-04_Avian_基隆海域_60	研海生態顧問股份有限公司	4						海上漂浮							2022-06-04	10:50	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.393639	122.078167	WGS84	1	0.000001	KL_Avian_0000085	Sula leucogaster	species	白腹鰹鳥
2022-06-04_Avian_基隆海域_61	HumanObservation	{heightInMeters:0-5, distanceInMeters:200, azimuth:NW, angleWithShip:10}	2022-06-04_Avian_基隆海域_61	研海生態顧問股份有限公司	1						飛行							2022-06-04	10:51	2022	6	4	2022-06-04		Asia	Taiwan	基隆海域			25.391417	122.082278	WGS84	1	0.000001	KL_Avian_0000085	Sula leucogaster	species	白腹鰹鳥
