taxonID,scientificName,taxonRank,vernacularName,kingdom,phylum,class,order,family,genus,acceptedNameUsage
KL_Avian_0000012,Streptopelia orientalis,species,金背鳩,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia, 
KL_Avian_0000013,Streptopelia decaocto,species,灰斑鳩,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia, 
KL_Avian_0000014,Streptopelia tranquebarica,species,紅鳩,Animalia,Chordata,Aves,Columbiformes,Columbidae,Streptopelia, 
KL_Avian_0000015,Streptopelia chinensis,species,珠頸斑鳩,Animalia,Chordata,Aves,Columbiformes,Columbidae,Spilopelia, 
KL_Avian_0000016,Centropus bengalensis,species,番鵑,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Centropus, 
KL_Avian_0000017,Clamator coromandus,species,冠郭公,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Clamator, 
KL_Avian_0000018,Cuculus canorus,species,大杜鵑,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Cuculus, 
KL_Avian_0000019,Cuculus optatus,species,北方中杜鵑,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Cuculus, 
KL_Avian_0000020,Caprimulgus jotaka,species,普通夜鷹,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus, 
KL_Avian_0000021,Hirundapus caudacutus,species,白喉針尾雨燕,Animalia,Chordata,Aves,Apodiformes,Apodidae,Hirundapus, 
KL_Avian_0000022,Aerodramus brevirostris,species,短嘴金絲燕,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus, 
KL_Avian_0000023,Apus pacificus,species,叉尾雨燕,Animalia,Chordata,Aves,Apodiformes,Apodidae,Apus, 
KL_Avian_0000024,Apus nipalensis,species,小雨燕,Animalia,Chordata,Aves,Apodiformes,Apodidae,Apus, 
KL_Avian_0000025,Rallus indicus,species,東亞秧雞,Animalia,Chordata,Aves,Gruiformes,Rallidae,Rallus, 
KL_Avian_0000026,Gallinula chloropus,species,紅冠水雞,Animalia,Chordata,Aves,Gruiformes,Rallidae,Gallinula, 
KL_Avian_0000027,Amaurornis phoenicurus,species,白腹秧雞,Animalia,Chordata,Aves,Gruiformes,Rallidae,Amaurornis, 
KL_Avian_0000028,Zapornia fusca,species,緋秧雞,Animalia,Chordata,Aves,Gruiformes,Rallidae,Porzana, 
KL_Avian_0000029,Zapornia pusilla,species,小秧雞,Animalia,Chordata,Aves,Gruiformes,Rallidae,Porzana, 
KL_Avian_0000030,Himantopus himantopus,species,高蹺鴴,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,Himantopus, 
KL_Avian_0000031,Pluvialis squatarola,species,灰斑鴴,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis, 
KL_Avian_0000032,Pluvialis fulva,species,太平洋金斑鴴,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis, 
KL_Avian_0000033,Charadrius mongolus,species,蒙古鴴,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius, 
KL_Avian_0000034,Charadrius leschenaultii,species,鐵嘴鴴,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius, 
KL_Avian_0000035,Charadrius alexandrinus,species,東方環頸鴴,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius, 
KL_Avian_0000036,Charadrius dubius,species,小環頸鴴,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius, 
KL_Avian_0000037,Charadrius veredus,species,東方紅胸鴴,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius, 
KL_Avian_0000038,Numenius phaeopus,species,中杓鷸,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius, 
KL_Avian_0000039,Numenius minutus,species,小杓鷸,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius, 
KL_Avian_0000040,Numenius arquata,species,大杓鷸,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius, 
KL_Avian_0000041,Arenaria interpres,species,翻石鷸,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Arenaria, 
KL_Avian_0000042,Calidris tenuirostris,species,大濱鷸,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris, 
KL_Avian_0000043,Calidris acuminata,species,尖尾濱鷸,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris, 
KL_Avian_0000044,Calidris ruficollis,species,紅胸濱鷸,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris, 
KL_Avian_0000045,Calidris alba,species,三趾濱鷸,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris, 
KL_Avian_0000046,Calidris alpina,species,黑腹濱鷸,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris, 
KL_Avian_0000047,Scolopax rusticola,species,山鷸,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Scolopax, 
KL_Avian_0000048,Gallinago gallinago,species,田鷸,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Gallinago, 
KL_Avian_0000049,Gallinago megala,species,中地鷸,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Gallinago, 
KL_Avian_0000050,Xenus cinereus,species,反嘴鷸,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Xenus, 
KL_Avian_0000051,Phalaropus lobatus,species,紅領瓣足鷸,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Phalaropus, 
KL_Avian_0000052,Actitis hypoleucos,species,磯鷸,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis, 
KL_Avian_0000053,Tringa ochropus,species,白腰草鷸,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa, 
KL_Avian_0000054,Tringa brevipes,species,黃足鷸,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa, 
KL_Avian_0000055,Tringa incana,species,美洲黃足鷸,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa, 
KL_Avian_0000056,Tringa nebularia,species,青足鷸,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa, 
KL_Avian_0000057,Tringa glareola,species,鷹斑鷸,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa, 
KL_Avian_0000058,Tringa totanus,species,赤足鷸,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa, 
KL_Avian_0000059,Glareola maldivarum,species,燕鴴,Animalia,Chordata,Aves,Charadriiformes,Glareolidae,Glareola, 
KL_Avian_0000060,Stercorarius parasiticus,species,短尾賊鷗,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius, 
KL_Avian_0000061,Stercorarius longicaudus,species,長尾賊鷗,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius, 
KL_Avian_0000062,Larus crassirostris,species,黑尾鷗,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus, 
KL_Avian_0000063,Larus argentatus,species,銀鷗,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus, 
KL_Avian_0000064,Anous stolidus,species,玄燕鷗,Animalia,Chordata,Aves,Charadriiformes,Laridae,Anous, 
KL_Avian_0000065,Onychoprion anaethetus,species,白眉燕鷗,Animalia,Chordata,Aves,Charadriiformes,Laridae,Onychoprion, 
KL_Avian_0000066,Onychoprion aleuticus,species,白腰燕鷗,Animalia,Chordata,Aves,Charadriiformes,Laridae,Onychoprion, 
KL_Avian_0000067,Sternula albifrons,species,小燕鷗,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sternula, 
KL_Avian_0000068,Gelochelidon nilotica,species,鷗嘴燕鷗,Animalia,Chordata,Aves,Charadriiformes,Laridae,Gelochelidon, 
KL_Avian_0000069,Chlidonias leucopterus,species,白翅黑燕鷗,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chlidonias, 
KL_Avian_0000070,Chlidonias hybrida,species,黑腹燕鷗,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chlidonias, 
KL_Avian_0000071,Sterna dougallii,species,紅燕鷗,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna, 
KL_Avian_0000072,Sterna sumatrana,species,蒼燕鷗,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna, 
KL_Avian_0000073,Sterna hirundo,species,燕鷗,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna, 
KL_Avian_0000074,Thalasseus bergii,species,鳳頭燕鷗,Animalia,Chordata,Aves,Charadriiformes,Laridae,Thalasseus, 
KL_Avian_0000075,Hydrobates monorhis,species,黑叉尾海燕,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,Oceanodroma monorhis
KL_Avian_0000076,Hydrobates matsudairae,species,煙黑叉尾海燕,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma, 
KL_Avian_0000077,Oceanodroma tristrami,species,褐翅叉尾海燕,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma, 
KL_Avian_0000078,Bulweria bulwerii,species,穴鳥,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Bulweria, 
KL_Avian_0000079,Calonectris leucomelas,species,大水薙鳥,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Calonectris, 
KL_Avian_0000080,Ardenna pacifica,species,長尾水薙鳥,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus, 
KL_Avian_0000081,Ardenna tenuirostris,species,短尾水薙鳥,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus, 
KL_Avian_0000082,Fregata ariel,species,白斑軍艦鳥,Animalia,Chordata,Aves,Suliformes,Fregatidae,Fregata, 
KL_Avian_0000083,Fregata minor,species,軍艦鳥,Animalia,Chordata,Aves,Suliformes,Fregatidae,Fregata, 
KL_Avian_0000084,Sula dactylatra,species,藍臉鰹鳥,Animalia,Chordata,Aves,Suliformes,Sulidae,Sula, 
KL_Avian_0000085,Sula leucogaster,species,白腹鰹鳥,Animalia,Chordata,Aves,Suliformes,Sulidae,Sula, 
KL_Avian_0000086,Phalacrocorax carbo,species,鸕鷀,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax, 
KL_Avian_0000087,Phalacrocorax capillatus,species,丹氏鸕鷀,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax, 
KL_Avian_0000088,Botaurus stellaris,species,大麻鷺,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Botaurus, 
KL_Avian_0000089,Ixobrychus sinensis,species,黃小鷺,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ixobrychus, 
KL_Avian_0000090,Ixobrychus eurhythmus,species,秋小鷺,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ixobrychus, 
KL_Avian_0000091,Ardea cinerea,species,蒼鷺,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea, 
KL_Avian_0000092,Ardea purpurea,species,紫鷺,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea, 
KL_Avian_0000093,Ardea alba,species,大白鷺,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea, 
KL_Avian_0000094,Ardea intermedia,species,中白鷺,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta, 
KL_Avian_0000095,Egretta eulophotes,species,唐白鷺,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta, 
KL_Avian_0000096,Egretta garzetta,species,小白鷺,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta, 
KL_Avian_0000097,Egretta sacra,species,岩鷺,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta, 
KL_Avian_0000098,Bubulcus ibis,species,黃頭鷺,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Bubulcus, 
KL_Avian_0000099,Ardeola bacchus,species,池鷺,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardeola, 
KL_Avian_0000100,Butorides striata,species,綠簑鷺,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Butorides, 
KL_Avian_0000101,Nycticorax nycticorax,species,夜鷺,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Nycticorax, 
KL_Avian_0000102,Gorsachius goisagi,species,麻鷺,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Gorsachius, 
KL_Avian_0000103,Platalea leucorodia,species,白琵鷺,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Platalea, 
KL_Avian_0000104,Platalea minor,species,黑面琵鷺,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Platalea, 
KL_Avian_0000105,Pandion haliaetus,species,魚鷹,Animalia,Chordata,Aves,Accipitriformes,Pandionidae,Pandion, 
KL_Avian_0000106,Elanus caeruleus,species,黑翅鳶,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanus, 
KL_Avian_0000107,Pernis ptilorhynchus,species,東方蜂鷹,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Pernis, 
KL_Avian_0000108,Butastur indicus,species,灰面鵟鷹,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Butastur, 
KL_Avian_0000109,Circus spilonotus,species,東方澤鵟,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus, 
KL_Avian_0000110,Circus cyaneus,species,灰澤鵟,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus, 
KL_Avian_0000111,Accipiter soloensis,species,赤腹鷹,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter, 
KL_Avian_0000112,Accipiter gularis,species,日本松雀鷹,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter, 
KL_Avian_0000113,Accipiter nisus,species,北雀鷹,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter, 
KL_Avian_0000114,Milvus migrans,species,黑鳶,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus, 
KL_Avian_0000115,Buteo japonicus,species,東方鵟,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo, 
KL_Avian_0000116,Otus sunia,species,東方角鴞,Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus, 
KL_Avian_0000117,Ninox japonica,species,褐鷹鴞,Animalia,Chordata,Aves,Strigiformes,Strigidae,Ninox, 
KL_Avian_0000118,Upupa epops,species,戴勝,Animalia,Chordata,Aves,Bucerotiformes,Upupidae,Upupa, 
KL_Avian_0000119,Alcedo atthis,species,翠鳥,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Alcedo, 
KL_Avian_0000120,Halcyon coromanda,species,赤翡翠,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Halcyon, 
KL_Avian_0000121,Halcyon pileata,species,黑頭翡翠,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Halcyon, 
KL_Avian_0000122,Eurystomus orientalis,species,佛法僧,Animalia,Chordata,Aves,Coraciiformes,Coraciidae,Eurystomus, 
KL_Avian_0000123,Jynx torquilla,species,地啄木,Animalia,Chordata,Aves,Piciformes,Picidae,Jynx, 
KL_Avian_0000124,Falco tinnunculus,species,紅隼,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco, 
KL_Avian_0000125,Falco subbuteo,species,燕隼,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco, 
KL_Avian_0000126,Falco peregrinus,species,遊隼,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco, 
KL_Avian_0000127,Lalage melaschistos,species,黑翅山椒鳥,Animalia,Chordata,Aves,Passeriformes,Campephagidae,Coracina, 
KL_Avian_0000128,Pericrocotus divaricatus,species,灰山椒鳥,Animalia,Chordata,Aves,Passeriformes,Campephagidae,Pericrocotus, 
KL_Avian_0000129,Oriolus chinensis,species,黃鸝,Animalia,Chordata,Aves,Passeriformes,Oriolidae,Oriolus, 
KL_Avian_0000130,Dicrurus macrocercus,species,大卷尾,Animalia,Chordata,Aves,Passeriformes,Dicruridae,Dicrurus, 
KL_Avian_0000131,Dicrurus leucophaeus,species,灰卷尾,Animalia,Chordata,Aves,Passeriformes,Dicruridae,Dicrurus, 
KL_Avian_0000132,Dicrurus hottentottus,species,髮冠卷尾,Animalia,Chordata,Aves,Passeriformes,Dicruridae,Dicrurus, 
KL_Avian_0000133,Terpsiphone atrocaudata,species,紫綬帶,Animalia,Chordata,Aves,Passeriformes,Monarchidae,Terpsiphone, 
KL_Avian_0000134,Lanius bucephalus,species,紅頭伯勞,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius, 
KL_Avian_0000135,Lanius cristatus,species,紅尾伯勞,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius, 
KL_Avian_0000136,Lanius schach,species,棕背伯勞,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius, 
KL_Avian_0000137,Corvus corone,species,小嘴烏鴉,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus, 
KL_Avian_0000138,Alauda arvensis,species,歐亞雲雀,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alauda, 
KL_Avian_0000139,Alauda gulgula,species,小雲雀,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alauda, 
KL_Avian_0000140,Alauda,genus,雲雀屬,,,,,,, 
KL_Avian_0000141,Cisticola juncidis,species,棕扇尾鶯,Animalia,Chordata,Aves,Passeriformes,Cisticolidae,Cisticola, 
KL_Avian_0000142,Acrocephalus bistrigiceps,species,雙眉葦鶯,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus, 
KL_Avian_0000143,Acrocephalus orientalis,species,東方大葦鶯,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus, 
KL_Avian_0000144,Locustella lanceolata,species,茅斑蝗鶯,Animalia,Chordata,Aves,Passeriformes,Locustellidae,Locustella, 
KL_Avian_0000145,Locustella certhiola,species,小蝗鶯,Animalia,Chordata,Aves,Passeriformes,Locustellidae,Locustella, 
KL_Avian_0000146,Locustella ochotensis,species,北蝗鶯,Animalia,Chordata,Aves,Passeriformes,Locustellidae,Locustella, 
KL_Avian_0000147,Riparia chinensis,species,棕沙燕,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Riparia, 
KL_Avian_0000148,Riparia riparia,species,灰沙燕,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Riparia, 
KL_Avian_0000149,Hirundo rustica,species,家燕,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo, 
KL_Avian_0000150,Hirundo tahitica,species,洋燕,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo, 
KL_Avian_0000151,Cecropis daurica,species,金腰燕,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Cecropis, 
KL_Avian_0000152,Delichon dasypus,species,東方毛腳燕,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Delichon, 
KL_Avian_0000153,Pycnonotus sinensis,species,白頭翁,Animalia,Chordata,Aves,Passeriformes,Pycnonotidae,Pycnonotus, 
KL_Avian_0000154,Hypsipetes amaurotis,species,棕耳鵯,Animalia,Chordata,Aves,Passeriformes,Pycnonotidae,Hypsipetes, 
KL_Avian_0000155,Phylloscopus inornatus,species,黃眉柳鶯,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus, 
KL_Avian_0000156,Phylloscopus proregulus,species,黃腰柳鶯,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus, 
KL_Avian_0000157,Phylloscopus fuscatus,species,褐色柳鶯,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus, 
KL_Avian_0000158,Phylloscopus ijimae,species,飯島柳鶯,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus, 
KL_Avian_0000159,Phylloscopus tenellipes,species,淡腳柳鶯,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus, 
KL_Avian_0000160,Phylloscopus,genus,極北柳鶯複合群,,,,,,, 
KL_Avian_0000161,Phylloscopus coronatus,species,冠羽柳鶯,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus, 
KL_Avian_0000162,Phylloscopus,genus,冠紋柳鶯複合群,,,,,,, 
KL_Avian_0000163,Urosphena squameiceps,species,短尾鶯,Animalia,Chordata,Aves,Passeriformes,Cettiidae,Urosphena, 
KL_Avian_0000164,Horornis canturians,species,遠東樹鶯,Animalia,Chordata,Aves,Passeriformes,Cettiidae,Horornis, 
KL_Avian_0000165,Horornis,genus,短翅樹鶯複合群,,,,,,, 
KL_Avian_0000166,Zosterops simplex,species,斯氏繡眼,Animalia,Chordata,Aves,Passeriformes,Zosteropidae,Zosterops, 
KL_Avian_0000167,Zosterops japonicus,species,日菲繡眼,Animalia,Chordata,Aves,Passeriformes,Zosteropidae,Zosterops, 
KL_Avian_0000168,Sturnus vulgaris,species,歐洲椋鳥,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus, 
KL_Avian_0000169,Agropsar philippensis,species,小椋鳥,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Agropsar, 
KL_Avian_0000170,Sturnia sinensis,species,灰背椋鳥,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnia, 
KL_Avian_0000171,Spodiopsar sericeus,species,絲光椋鳥,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Spodiopsar, 
KL_Avian_0000172,Spodiopsar cineraceus,species,灰椋鳥,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Spodiopsar, 
KL_Avian_0000173,Acridotheres tristis,species,家八哥,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres, 
KL_Avian_0000174,Acridotheres javanicus,species,白尾八哥,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres, 
KL_Avian_0000175,Acridotheres cristatellus,species,八哥,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres, 
KL_Avian_0000176,Zoothera aurea,species,白氏地鶇,Animalia,Chordata,Aves,Passeriformes,Turdidae,Zoothera, 
KL_Avian_0000177,Turdus mandarinus,species,中國黑鶇,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus, 
KL_Avian_0000178,Turdus cardis,species,烏灰鶇,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus, 
KL_Avian_0000179,Turdus hortulorum,species,灰背鶇,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus, 
KL_Avian_0000180,Turdus obscurus,species,白眉鶇,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus, 
KL_Avian_0000181,Turdus chrysolaus,species,赤腹鶇,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus, 
KL_Avian_0000182,Turdus pallidus,species,白腹鶇,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus, 
KL_Avian_0000183,Turdus ruficollis,species,赤頸鶇,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus, 
KL_Avian_0000184,Turdus eunomus,species,斑點鶇,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus, 
KL_Avian_0000185,Muscicapa griseisticta,species,灰斑鶲,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Muscicapa, 
KL_Avian_0000186,Muscicapa sibirica,species,烏鶲,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Muscicapa, 
KL_Avian_0000187,Muscicapa ferruginea,species,紅尾鶲,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Muscicapa, 
KL_Avian_0000188,Muscicapa dauurica,species,寬嘴鶲,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Muscicapa, 
KL_Avian_0000189,Cyanoptila cyanomelana,species,白腹琉璃,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Cyanoptila, 
KL_Avian_0000190,Larvivora sibilans,species,紅尾歌鴝,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Larvivora, 
KL_Avian_0000191,Larvivora komadori,species,琉球歌鴝,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Erithacus, 
KL_Avian_0000192,Larvivora cyane,species,藍歌鴝,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Luscinia, 
KL_Avian_0000193,Luscinia svecica,species,藍喉鴝,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Luscinia, 
KL_Avian_0000194,Calliope calliope,species,野鴝,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Luscinia, 
KL_Avian_0000195,Tarsiger cyanurus,species,藍尾鴝,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Tarsiger, 
KL_Avian_0000196,Ficedula zanthopygia,species,白眉鶲,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula, 
