taxonID,occurrenceID,eventDate,year,month,day,eventTime,basisOfRecord,continent,country,locality,samplingProtocol,scientificName,taxonRank,vernacularName,individualCount,organismQuantityType,organismQuantity,georeferenceVerificationStatus,geodeticDatum,decimalLongitude,decimalLatitude,coordinatePrecision,coordinateUncertaintyInMeters,recordedBy,lifeStage,reproductiveCondition,behavior,occurrenceRemarks,associatedMedia,associatedReferences,dynamicProperties,verbatimEventDate,minimumDepthInMeters,maximumDepthInMeters
KL_Insect_0000073,1994-00-00_Insect_HumanObservation_001,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Nezara viridula,species,稻綠椿,,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000052,1994-00-00_Avian_棉花嶼_000015,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Actitis hypoleucos,species,磯鷸,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000024,1994-00-00_Avian_棉花嶼_000005,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Apus nipalensis,species,小雨燕,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000023,1994-00-00_Avian_棉花嶼_000004,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Apus pacificus,species,叉尾雨燕,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000021,1994-00-00_Avian_棉花嶼_000003,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Hirundapus caudacutus,species,白喉針尾雨燕,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000086,1994-00-00_Avian_棉花嶼_000026,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Phalacrocorax carbo,species,鸕鷀,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000095,1994-00-00_Avian_棉花嶼_000027,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Egretta eulophotes,species,唐白鷺,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000096,1994-00-00_Avian_棉花嶼_000028,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Egretta garzetta,species,小白鷺,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000097,1994-00-00_Avian_棉花嶼_000029,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Egretta sacra,species,岩鷺,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000079,1994-00-00_Avian_棉花嶼_000023,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Calonectris leucomelas,species,大水薙鳥,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000108,1994-00-00_Avian_棉花嶼_000031,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Butastur indicus,species,灰面鵟鷹,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Reptile_0000001,1994-00-00_Reptile_HumanObservation_0001,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Gekko hokouensis,species,鉛山壁虎,1,,,,,,,,,社團法人基隆市野鳥學會,,,,2011年後各年基鳥報告多有提及,,2011年棉花嶼、瓶野生動物保護區生態調查委託案成果報告 p.74,,1994-00-00,,
KL_Avian_0000115,1994-00-00_Avian_棉花嶼_000033,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Buteo japonicus,species,東方鵟,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000120,1994-00-00_Avian_棉花嶼_000034,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Halcyon coromanda,species,赤翡翠,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000126,1994-00-00_Avian_棉花嶼_000035,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Falco peregrinus,species,遊隼,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000133,1994-00-00_Avian_棉花嶼_000036,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Terpsiphone atrocaudata,species,紫綬帶,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000135,1994-00-00_Avian_棉花嶼_000037,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Lanius cristatus,species,紅尾伯勞,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000138,1994-00-00_Avian_棉花嶼_000038,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Alauda arvensis,species,歐亞雲雀,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000111,1994-00-00_Avian_棉花嶼_000032,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Accipiter soloensis,species,赤腹鷹,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000074,1994-00-00_Avian_棉花嶼_000022,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Thalasseus bergii,species,鳳頭燕鷗,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000073,1994-00-00_Avian_棉花嶼_000021,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Sterna hirundo,species,燕鷗,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000072,1994-00-00_Avian_棉花嶼_000020,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Sterna sumatrana,species,蒼燕鷗,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Insect_0000100,1994-00-00_Insect_HumanObservation_002,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Necrobia rufipes,species,赤足郭公蟲,,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000021,1994-00-00_Avian_棉花嶼_000059,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Hirundapus caudacutus,species,白喉針尾雨燕,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000023,1994-00-00_Avian_棉花嶼_000060,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Apus pacificus,species,叉尾雨燕,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000024,1994-00-00_Avian_棉花嶼_000061,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Apus nipalensis,species,小雨燕,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000149,1994-00-00_Avian_棉花嶼_000041,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Hirundo rustica,species,家燕,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000150,1994-00-00_Avian_棉花嶼_000042,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Hirundo tahitica,species,洋燕,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000160,1994-00-00_Avian_棉花嶼_000043,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Phylloscopus,genus,極北柳鶯複合群,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000175,1994-00-00_Avian_棉花嶼_000044,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Acridotheres cristatellus,species,八哥,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000177,1994-00-00_Avian_棉花嶼_000045,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Turdus mandarinus,species,中國黑鶇,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000180,1994-00-00_Avian_棉花嶼_000046,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Turdus obscurus,species,白眉鶇,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000194,1994-00-00_Avian_棉花嶼_000047,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Calliope calliope,species,野鴝,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000203,1994-00-00_Avian_棉花嶼_000048,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Monticola solitarius,species,藍磯鶇,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000206,1994-00-00_Avian_棉花嶼_000049,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Passer montanus,species,麻雀,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000207,1994-00-00_Avian_棉花嶼_000050,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Motacilla cinerea,species,灰鶺鴒,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000208,1994-00-00_Avian_棉花嶼_000051,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Motacilla tschutschensis,species,東方黃鶺鴒,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000211,1994-00-00_Avian_棉花嶼_000052,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Anthus richardi,species,大花鷚,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000213,1994-00-00_Avian_棉花嶼_000053,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Anthus hodgsoni,species,樹鷚,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000216,1994-00-00_Avian_棉花嶼_000054,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Anthus spinoletta,species,水鷚,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000234,1994-00-00_Avian_棉花嶼_000056,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Emberiza rutila,species,鏽鵐,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Plant_0000001,1994-00-00_棉花嶼_植物_全島_0001,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Cyrtomium falcatum,species,全緣貫眾蕨,,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000011,1994-00-00_Avian_棉花嶼_000001,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Columba janthina,species,黑林鴿,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000147,1994-00-00_Avian_棉花嶼_000040,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Riparia chinensis,species,棕沙燕,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000085,1994-00-00_Avian_棉花嶼_000025,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Sula leucogaster,species,白腹鰹鳥,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Insect_0000117,1994-00-00_Insect_HumanObservation_004,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Tetramorium nipponense,species,日本皺家蟻,,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000229,1994-00-00_Avian_棉花嶼_000055,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Emberiza aureola,species,金鵐,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000027,1994-00-00_Avian_棉花嶼_000062,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Amaurornis phoenicurus,species,白腹秧雞,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000030,1994-00-00_Avian_棉花嶼_000063,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Himantopus himantopus,species,高蹺鴴,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000032,1994-00-00_Avian_棉花嶼_000064,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Pluvialis fulva,species,太平洋金斑鴴,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000033,1994-00-00_Avian_棉花嶼_000065,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Charadrius mongolus,species,蒙古鴴,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000034,1994-00-00_Avian_棉花嶼_000066,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Charadrius leschenaultii,species,鐵嘴鴴,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000036,1994-00-00_Avian_棉花嶼_000067,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Charadrius dubius,species,小環頸鴴,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000037,1994-00-00_Avian_棉花嶼_000068,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Charadrius veredus,species,東方紅胸鴴,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000043,1994-00-00_Avian_棉花嶼_000069,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Calidris acuminata,species,尖尾濱鷸,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000051,1994-00-00_Avian_棉花嶼_000070,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Phalaropus lobatus,species,紅領瓣足鷸,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000052,1994-00-00_Avian_棉花嶼_000071,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Actitis hypoleucos,species,磯鷸,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000054,1994-00-00_Avian_棉花嶼_000072,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Tringa brevipes,species,黃足鷸,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000056,1994-00-00_Avian_棉花嶼_000073,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Tringa nebularia,species,青足鷸,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000064,1994-00-00_Avian_棉花嶼_000074,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Anous stolidus,species,玄燕鷗,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000065,1994-00-00_Avian_棉花嶼_000075,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Onychoprion anaethetus,species,白眉燕鷗,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000012,1994-00-00_Avian_棉花嶼_000058,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Streptopelia orientalis,species,金背鳩,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Plant_0000002,1994-00-00_棉花嶼_植物_全島_0002,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Pteris fauriei var. fauriei,varietas,傅氏鳳尾蕨,,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000011,1994-00-00_Avian_棉花嶼_000057,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Columba janthina,species,黑林鴿,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Insect_0000101,1994-00-00_Insect_HumanObservation_003,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Necrobia ruficollis,species,赤頸郭公蟲,,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000082,1994-00-00_Avian_棉花嶼_000024,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Fregata ariel,species,白斑軍艦鳥,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000098,1994-00-00_Avian_棉花嶼_000030,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Bubulcus ibis,species,黃頭鷺,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000073,1994-00-00_Avian_棉花嶼_000077,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Sterna hirundo,species,燕鷗,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000085,1994-00-00_Avian_棉花嶼_000081,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Sula leucogaster,species,白腹鰹鳥,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000086,1994-00-00_Avian_棉花嶼_000082,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Phalacrocorax carbo,species,鸕鷀,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000095,1994-00-00_Avian_棉花嶼_000083,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Egretta eulophotes,species,唐白鷺,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000096,1994-00-00_Avian_棉花嶼_000084,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Egretta garzetta,species,小白鷺,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000097,1994-00-00_Avian_棉花嶼_000085,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Egretta sacra,species,岩鷺,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000098,1994-00-00_Avian_棉花嶼_000086,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Bubulcus ibis,species,黃頭鷺,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
KL_Avian_0000108,1994-00-00_Avian_棉花嶼_000087,1994,1994,0,0,,HumanObservation,Asia,Taiwan,棉花嶼,,Butastur indicus,species,灰面鵟鷹,1,,,,WGS84,122.105349,25.484834,1e-06,400.0,社團法人基隆市野鳥學會,,,,,,,,1994-00-00,,
