taxonID,occurrenceID,eventDate,year,month,day,eventTime,basisOfRecord,continent,country,locality,samplingProtocol,scientificName,taxonRank,vernacularName,individualCount,georeferenceVerificationStatus,geodeticDatum,decimalLongitude,decimalLatitude,coordinatePrecision,coordinateUncertaintyInMeters,recordedBy,sex,lifeStage,reproductiveCondition,behavior,vitality,occurrenceStatus,occurrenceRemarks,associatedMedia,associatedReferences,dynamicProperties,verbatimEventDate,minimumDepthInMeters,maximumDepthInMeters
KL_Fish_0000032,2011-00-00_Fish_潛水調查_0011,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Pomacentrus coelestis,species,霓虹雀鯛,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000038,2011-00-00_Fish_潛水調查_0012,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Istiblennius dussumieri,species,杜氏蛙䲁,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000040,2011-00-00_Fish_潛水調查_0013,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Plagiotremus tapeinosoma,species,黑帶橫口鳚,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000043,2011-00-00_Fish_潛水調查_0014,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Fistularia commersonii,species,康氏馬鞭魚,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000045,2011-00-00_Fish_潛水調查_0015,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Bodianus diana,species,對斑狐鯛,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000055,2011-00-00_Fish_潛水調查_0016,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Cirrhilabrus cyanopleura,species,藍身絲鰭鯛,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000057,2011-00-00_Fish_潛水調查_0017,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Halichoeres argus,species,大眼海豬魚,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000062,2011-00-00_Fish_潛水調查_0018,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Halichoeres melanochir,species,黑腕海豬魚,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000063,2011-00-00_Fish_潛水調查_0019,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Halichoeres marginatus,species,緣鰭海豬魚,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000066,2011-00-00_Fish_潛水調查_0020,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Labroides dimidiatus,species,裂唇魚,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000068,2011-00-00_Fish_潛水調查_0021,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Stethojulis bandanensis,species,黑星紫胸魚,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000082,2011-00-00_Fish_潛水調查_0022,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Thalassoma lutescens,species,胸斑錦魚/黃衣錦魚,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000088,2011-00-00_Fish_潛水調查_0023,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Pseudolabrus eoethinus,species,紅頸擬隆頭魚,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000096,2011-00-00_Fish_潛水調查_0024,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Acanthurus nigrofuscus,species,褐斑刺尾鯛,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000098,2011-00-00_Fish_潛水調查_0025,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Acanthurus thompsoni,species,黃尾刺尾鯛,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000099,2011-00-00_Fish_潛水調查_0026,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Acanthurus xanthopterus,species,黃鰭刺尾鯛,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000103,2011-00-00_Fish_潛水調查_0027,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Naso hexacanthus,species,六棘鼻魚,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000105,2011-00-00_Fish_潛水調查_0028,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Prionurus scalprum,species,鋸尾鯛,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000112,2011-00-00_Fish_潛水調查_0029,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Chaetodon nippon,species,日本蝴蝶魚,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000114,2011-00-00_Fish_潛水調查_0030,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Chaetodon argentatus,species,銀身蝴蝶魚,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000117,2011-00-00_Fish_潛水調查_0031,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Chaetodon kleinii,species,克氏蝴蝶魚,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000124,2011-00-00_Fish_潛水調查_0032,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Forcipiger flavissimus,species,黃鑷口魚,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000131,2011-00-00_Fish_潛水調查_0033,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Seriola dumerili,species,紅甘鰺,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000132,2011-00-00_Fish_潛水調查_0034,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Centropyge vrolikii,species,福氏刺尻魚,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000134,2011-00-00_Fish_潛水調查_0035,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Pomacanthus semicirculatus,species,疊波蓋刺魚,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000138,2011-00-00_Fish_潛水調查_0036,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Pseudanthias squamipinnis,species,絲鰭擬花鮨,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000139,2011-00-00_Fish_潛水調查_0037,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Plectranthias nanus,species,短棘花鱸,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000140,2011-00-00_Fish_潛水調查_0038,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Pseudogramma polyacantha,species,多棘擬線鱸,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000147,2011-00-00_Fish_潛水調查_0039,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Parupeneus multifasciatus,species,多帶海緋鯉,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000151,2011-00-00_Fish_潛水調查_0040,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Apogon properuptus,species,黃帶天竺鯛,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000152,2011-00-00_Fish_潛水調查_0041,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Cheilodipterus quinquelineatus,species,五線巨齒天竺鯛,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000153,2011-00-00_Fish_潛水調查_0042,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Apogon coccineus,species,紅天竺鯛,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000154,2011-00-00_Fish_潛水調查_0043,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Pseudamia gelatinosa,species,鈍尾擬天竺鯛,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000159,2011-00-00_Fish_潛水調查_0044,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Pterois volitans,species,魔鬼梭鮋,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000160,2011-00-00_Fish_潛水調查_0045,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Scorpaenodes littoralis,species,淺海小鮋,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000163,2011-00-00_Fish_潛水調查_0046,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Pseudochromis luteus,species,紅准雀鯛,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000164,2011-00-00_Fish_潛水調查_0047,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Belonepterygion fasciolatum,species,橫帶針鰭鮗,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000167,2011-00-00_Fish_潛水調查_0048,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Callogobius sclateri,species,稜頭硬皮鰕虎,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000168,2011-00-00_Fish_潛水調查_0049,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Callogobius,genus,硬皮鰕虎,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000170,2011-00-00_Fish_潛水調查_0050,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Eviota prasina,species,菲綠磯塘鱧,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000171,2011-00-00_Fish_潛水調查_0051,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Eviota,genus,磯塘鱧屬,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000172,2011-00-00_Fish_潛水調查_0052,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Fusigobius duospilus,species,裸頸植鰕虎,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000173,2011-00-00_Fish_潛水調查_0053,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Istigobius decoratus,species,珠點銜鯊,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000174,2011-00-00_Fish_潛水調查_0054,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Priolepis cincta,species,十二條鋸鱗鰕虎,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000175,2011-00-00_Fish_潛水調查_0055,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Priolepis inhaca,species,裸頰鋸鱗鰕虎,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000176,2011-00-00_Fish_潛水調查_0056,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Priolepis nuchifasciatus,species,頸紋鋸鱗鰕虎,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000177,2011-00-00_Fish_潛水調查_0057,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Trimma okinawae,species,沖繩磨塘鱧,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000178,2011-00-00_Fish_潛水調查_0058,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Trimma macrophthalma,species,圓斑磨塘鱧,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000179,2011-00-00_Fish_潛水調查_0059,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Helcogramma striatum,species,縱帶彎線鳚,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000180,2011-00-00_Fish_潛水調查_0060,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Norfolkia brachylepis,species,短鱗諾福克三鰭鳚,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000181,2011-00-00_Fish_潛水調查_0061,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Enneapterygius erythrosomus,species,赤身雙線鳚,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000182,2011-00-00_Fish_潛水調查_0062,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Helcogramma inclinata,species,三角彎線鳚,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000183,2011-00-00_Fish_潛水調查_0063,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Discotrema crinophilum,species,盤孔喉盤魚,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000184,2011-00-00_Fish_潛水調查_0064,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Zanclus cornutus,species,角蝶魚,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000187,2011-00-00_Fish_潛水調查_0065,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Balistoides conspicillum,species,花斑擬鱗魨,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000188,2011-00-00_Fish_潛水調查_0066,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Melichthys vidua,species,黑邊角鱗魨,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000192,2011-00-00_Fish_潛水調查_0067,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Xanthichthys caeruleolineatus,species,黑帶黃鱗魨,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000195,2011-00-00_Fish_潛水調查_0068,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Diodon holocanthus,species,六斑二齒魨,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000196,2011-00-00_Fish_潛水調查_0069,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Canthigaster rivulata,species,水紋尖鼻魨,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000197,2011-00-00_Fish_潛水調查_0070,2011,2011,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Canthigaster valentini,species,瓦氏尖鼻魨,1,,WGS84,122.105349,25.484834,0.000001,600,國立臺灣海洋大學,,,,,,,,,,,2011-00-00,,
KL_Fish_0000005,2020-00-00_Fish_浮潛_0001,2020,2020,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Tylosurus crocodilus,species,鱷型叉尾鶴鱵,1,,WGS84,122.105349,25.484834,0.000001,600,社團法人基隆市野鳥學會,,,,,,,,,,,2020-00-00,,
KL_Fish_0000007,2020-00-00_Fish_浮潛_0002,2020,2020,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Gymnothorax,genus,裸胸鯙屬,1,,WGS84,122.105349,25.484834,0.000001,600,社團法人基隆市野鳥學會,,,,,,,,,,,2020-00-00,,
KL_Fish_0000008,2020-00-00_Fish_浮潛_0003,2020,2020,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Aulostomus chinensis,species,中華管口魚,1,,WGS84,122.105349,25.484834,0.000001,600,社團法人基隆市野鳥學會,,,,,,,,,,,2020-00-00,,
KL_Fish_0000009,2020-00-00_Fish_浮潛_0004,2020,2020,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Abudefduf bengalensis,species,孟加拉豆娘魚,1,,WGS84,122.105349,25.484834,0.000001,600,社團法人基隆市野鳥學會,,,,,,,,,,,2020-00-00,,
KL_Fish_0000013,2020-00-00_Fish_浮潛_0005,2020,2020,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Abudefduf notatus,species,黃尾豆娘魚,1,,WGS84,122.105349,25.484834,0.000001,600,社團法人基隆市野鳥學會,,,,,,,,,,,2020-00-00,,
KL_Fish_0000014,2020-00-00_Fish_浮潛_0006,2020,2020,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Abudefduf vaigiensis,species,條紋豆娘魚,1,,WGS84,122.105349,25.484834,0.000001,600,社團法人基隆市野鳥學會,,,,,,,,,,,2020-00-00,,
KL_Fish_0000012,2020-00-00_Fish_浮潛_0007,2020,2020,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Abudefduf sordidus,species,梭地豆娘魚,1,,WGS84,122.105349,25.484834,0.000001,600,社團法人基隆市野鳥學會,,,,,,,,,,,2020-00-00,,
KL_Fish_0000020,2020-00-00_Fish_浮潛_0008,2020,2020,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Chrysiptera brownriggii,species,勃氏刻齒雀鯛,1,,WGS84,122.105349,25.484834,0.000001,600,社團法人基隆市野鳥學會,,,,,,,,,,,2020-00-00,,
KL_Fish_0000024,2020-00-00_Fish_浮潛_0009,2020,2020,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Chrysiptera biocellata,species,雙斑刻齒雀鯛,1,,WGS84,122.105349,25.484834,0.000001,600,社團法人基隆市野鳥學會,,,,,,,,,,,2020-00-00,,
KL_Fish_0000032,2020-00-00_Fish_浮潛_0010,2020,2020,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Pomacentrus coelestis,species,霓虹雀鯛,1,,WGS84,122.105349,25.484834,0.000001,600,社團法人基隆市野鳥學會,,,,,,,,,,,2020-00-00,,
KL_Fish_0000038,2020-00-00_Fish_浮潛_0011,2020,2020,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Istiblennius dussumieri,species,杜氏蛙䲁,1,,WGS84,122.105349,25.484834,0.000001,600,社團法人基隆市野鳥學會,,,,,,,,,,,2020-00-00,,
KL_Fish_0000039,2020-00-00_Fish_浮潛_0012,2020,2020,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Entomacrodus striatus,species,橫帶間頸鬚䲁,1,,WGS84,122.105349,25.484834,0.000001,600,社團法人基隆市野鳥學會,,,,,,,,,,,2020-00-00,,
KL_Fish_0000042,2020-00-00_Fish_浮潛_0013,2020,2020,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Cirrhitus pinnulatus,species,翼䱵,1,,WGS84,122.105349,25.484834,0.000001,600,社團法人基隆市野鳥學會,,,,,,,,,,,2020-00-00,,
KL_Fish_0000043,2020-00-00_Fish_浮潛_0014,2020,2020,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Fistularia commersonii,species,康氏馬鞭魚,1,,WGS84,122.105349,25.484834,0.000001,600,社團法人基隆市野鳥學會,,,,,,,,,,,2020-00-00,,
KL_Fish_0000056,2020-00-00_Fish_浮潛_0015,2020,2020,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Gomphosus varius,species,雜色尖嘴魚,1,,WGS84,122.105349,25.484834,0.000001,600,社團法人基隆市野鳥學會,,,,,,,,,,,2020-00-00,,
KL_Fish_0000066,2020-00-00_Fish_浮潛_0016,2020,2020,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Labroides dimidiatus,species,裂唇魚,1,,WGS84,122.105349,25.484834,0.000001,600,社團法人基隆市野鳥學會,,,,,,,,,,,2020-00-00,,
KL_Fish_0000067,2020-00-00_Fish_浮潛_0017,2020,2020,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Macropharyngodon meleagris,species,珠斑大咽齒鯛,1,,WGS84,122.105349,25.484834,0.000001,600,社團法人基隆市野鳥學會,,,,,,,,,,,2020-00-00,,
KL_Fish_0000074,2020-00-00_Fish_浮潛_0018,2020,2020,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Stethojulis terina,species,斷紋紫胸魚,1,,WGS84,122.105349,25.484834,0.000001,600,社團法人基隆市野鳥學會,,,,,,,,,,,2020-00-00,,
KL_Fish_0000077,2020-00-00_Fish_浮潛_0019,2020,2020,,,,HumanObservation,Asia,Taiwan,棉花嶼周邊海域,,Thalassoma trilobatum,species,三葉錦魚,1,,WGS84,122.105349,25.484834,0.000001,600,社團法人基隆市野鳥學會,,,,,,,,,,,2020-00-00,,
