scientificName,taxonRank,vernacularName,taxonID,kingdom,phylum,class,order,family,genus,acceptedNameUsage
Numenius phaeopus,species,中杓鷸,KL_Avian_0000038,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius, 
Numenius minutus,species,小杓鷸,KL_Avian_0000039,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius, 
Numenius arquata,species,大杓鷸,KL_Avian_0000040,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius, 
Arenaria interpres,species,翻石鷸,KL_Avian_0000041,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Arenaria, 
Calidris tenuirostris,species,大濱鷸,KL_Avian_0000042,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris, 
Calidris acuminata,species,尖尾濱鷸,KL_Avian_0000043,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris, 
Calidris ruficollis,species,紅胸濱鷸,KL_Avian_0000044,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris, 
Calidris alba,species,三趾濱鷸,KL_Avian_0000045,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris, 
Calidris alpina,species,黑腹濱鷸,KL_Avian_0000046,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris, 
Scolopax rusticola,species,山鷸,KL_Avian_0000047,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Scolopax, 
Gallinago gallinago,species,田鷸,KL_Avian_0000048,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Gallinago, 
Gallinago megala,species,中地鷸,KL_Avian_0000049,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Gallinago, 
Xenus cinereus,species,反嘴鷸,KL_Avian_0000050,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Xenus, 
Phalaropus lobatus,species,紅領瓣足鷸,KL_Avian_0000051,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Phalaropus, 
Actitis hypoleucos,species,磯鷸,KL_Avian_0000052,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis, 
Tringa ochropus,species,白腰草鷸,KL_Avian_0000053,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa, 
Tringa brevipes,species,黃足鷸,KL_Avian_0000054,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa, 
Tringa incana,species,美洲黃足鷸,KL_Avian_0000055,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa, 
Tringa nebularia,species,青足鷸,KL_Avian_0000056,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa, 
Tringa glareola,species,鷹斑鷸,KL_Avian_0000057,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa, 
Tringa totanus,species,赤足鷸,KL_Avian_0000058,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa, 
Glareola maldivarum,species,燕鴴,KL_Avian_0000059,Animalia,Chordata,Aves,Charadriiformes,Glareolidae,Glareola, 
Stercorarius parasiticus,species,短尾賊鷗,KL_Avian_0000060,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius, 
Stercorarius longicaudus,species,長尾賊鷗,KL_Avian_0000061,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius, 
Larus crassirostris,species,黑尾鷗,KL_Avian_0000062,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus, 
Larus argentatus,species,銀鷗,KL_Avian_0000063,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus, 
Anous stolidus,species,玄燕鷗,KL_Avian_0000064,Animalia,Chordata,Aves,Charadriiformes,Laridae,Anous, 
Onychoprion anaethetus,species,白眉燕鷗,KL_Avian_0000065,Animalia,Chordata,Aves,Charadriiformes,Laridae,Onychoprion, 
Onychoprion aleuticus,species,白腰燕鷗,KL_Avian_0000066,Animalia,Chordata,Aves,Charadriiformes,Laridae,Onychoprion, 
Sternula albifrons,species,小燕鷗,KL_Avian_0000067,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sternula, 
Gelochelidon nilotica,species,鷗嘴燕鷗,KL_Avian_0000068,Animalia,Chordata,Aves,Charadriiformes,Laridae,Gelochelidon, 
Chlidonias leucopterus,species,白翅黑燕鷗,KL_Avian_0000069,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chlidonias, 
Chlidonias hybrida,species,黑腹燕鷗,KL_Avian_0000070,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chlidonias, 
Sterna dougallii,species,紅燕鷗,KL_Avian_0000071,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna, 
Sterna sumatrana,species,蒼燕鷗,KL_Avian_0000072,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna, 
Sterna hirundo,species,燕鷗,KL_Avian_0000073,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna, 
Thalasseus bergii,species,鳳頭燕鷗,KL_Avian_0000074,Animalia,Chordata,Aves,Charadriiformes,Laridae,Thalasseus, 
Hydrobates monorhis,species,黑叉尾海燕,KL_Avian_0000075,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,Oceanodroma monorhis
Hydrobates matsudairae,species,煙黑叉尾海燕,KL_Avian_0000076,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma, 
Oceanodroma tristrami,species,褐翅叉尾海燕,KL_Avian_0000077,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma, 
Bulweria bulwerii,species,穴鳥,KL_Avian_0000078,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Bulweria, 
Calonectris leucomelas,species,大水薙鳥,KL_Avian_0000079,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Calonectris, 
Ardenna pacifica,species,長尾水薙鳥,KL_Avian_0000080,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus, 
Ardenna tenuirostris,species,短尾水薙鳥,KL_Avian_0000081,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus, 
Fregata ariel,species,白斑軍艦鳥,KL_Avian_0000082,Animalia,Chordata,Aves,Suliformes,Fregatidae,Fregata, 
Fregata minor,species,軍艦鳥,KL_Avian_0000083,Animalia,Chordata,Aves,Suliformes,Fregatidae,Fregata, 
Sula dactylatra,species,藍臉鰹鳥,KL_Avian_0000084,Animalia,Chordata,Aves,Suliformes,Sulidae,Sula, 
Sula leucogaster,species,白腹鰹鳥,KL_Avian_0000085,Animalia,Chordata,Aves,Suliformes,Sulidae,Sula, 
Phalacrocorax carbo,species,鸕鷀,KL_Avian_0000086,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax, 
Phalacrocorax capillatus,species,丹氏鸕鷀,KL_Avian_0000087,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax, 
Botaurus stellaris,species,大麻鷺,KL_Avian_0000088,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Botaurus, 
Ixobrychus sinensis,species,黃小鷺,KL_Avian_0000089,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ixobrychus, 
Ixobrychus eurhythmus,species,秋小鷺,KL_Avian_0000090,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ixobrychus, 
Ardea cinerea,species,蒼鷺,KL_Avian_0000091,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea, 
Ardea purpurea,species,紫鷺,KL_Avian_0000092,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea, 
Ardea alba,species,大白鷺,KL_Avian_0000093,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea, 
Ardea intermedia,species,中白鷺,KL_Avian_0000094,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta, 
Egretta eulophotes,species,唐白鷺,KL_Avian_0000095,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta, 
Egretta garzetta,species,小白鷺,KL_Avian_0000096,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta, 
Egretta sacra,species,岩鷺,KL_Avian_0000097,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta, 
Bubulcus ibis,species,黃頭鷺,KL_Avian_0000098,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Bubulcus, 
Ardeola bacchus,species,池鷺,KL_Avian_0000099,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardeola, 
Butorides striata,species,綠簑鷺,KL_Avian_0000100,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Butorides, 
Nycticorax nycticorax,species,夜鷺,KL_Avian_0000101,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Nycticorax, 
Gorsachius goisagi,species,麻鷺,KL_Avian_0000102,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Gorsachius, 
Platalea leucorodia,species,白琵鷺,KL_Avian_0000103,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Platalea, 
Platalea minor,species,黑面琵鷺,KL_Avian_0000104,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Platalea, 
Pandion haliaetus,species,魚鷹,KL_Avian_0000105,Animalia,Chordata,Aves,Accipitriformes,Pandionidae,Pandion, 
Elanus caeruleus,species,黑翅鳶,KL_Avian_0000106,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanus, 
Pernis ptilorhynchus,species,東方蜂鷹,KL_Avian_0000107,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Pernis, 
Butastur indicus,species,灰面鵟鷹,KL_Avian_0000108,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Butastur, 
Circus spilonotus,species,東方澤鵟,KL_Avian_0000109,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus, 
Circus cyaneus,species,灰澤鵟,KL_Avian_0000110,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus, 
Accipiter soloensis,species,赤腹鷹,KL_Avian_0000111,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter, 
Accipiter gularis,species,日本松雀鷹,KL_Avian_0000112,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter, 
Accipiter nisus,species,北雀鷹,KL_Avian_0000113,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter, 
Milvus migrans,species,黑鳶,KL_Avian_0000114,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus, 
Buteo japonicus,species,東方鵟,KL_Avian_0000115,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo, 
Otus sunia,species,東方角鴞,KL_Avian_0000116,Animalia,Chordata,Aves,Strigiformes,Strigidae,Otus, 
Ninox japonica,species,褐鷹鴞,KL_Avian_0000117,Animalia,Chordata,Aves,Strigiformes,Strigidae,Ninox, 
Upupa epops,species,戴勝,KL_Avian_0000118,Animalia,Chordata,Aves,Bucerotiformes,Upupidae,Upupa, 
Alcedo atthis,species,翠鳥,KL_Avian_0000119,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Alcedo, 
Halcyon coromanda,species,赤翡翠,KL_Avian_0000120,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Halcyon, 
Halcyon pileata,species,黑頭翡翠,KL_Avian_0000121,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Halcyon, 
Eurystomus orientalis,species,佛法僧,KL_Avian_0000122,Animalia,Chordata,Aves,Coraciiformes,Coraciidae,Eurystomus, 
Jynx torquilla,species,地啄木,KL_Avian_0000123,Animalia,Chordata,Aves,Piciformes,Picidae,Jynx, 
Falco tinnunculus,species,紅隼,KL_Avian_0000124,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco, 
Falco subbuteo,species,燕隼,KL_Avian_0000125,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco, 
Falco peregrinus,species,遊隼,KL_Avian_0000126,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco, 
Lalage melaschistos,species,黑翅山椒鳥,KL_Avian_0000127,Animalia,Chordata,Aves,Passeriformes,Campephagidae,Coracina, 
Pericrocotus divaricatus,species,灰山椒鳥,KL_Avian_0000128,Animalia,Chordata,Aves,Passeriformes,Campephagidae,Pericrocotus, 
Oriolus chinensis,species,黃鸝,KL_Avian_0000129,Animalia,Chordata,Aves,Passeriformes,Oriolidae,Oriolus, 
Dicrurus macrocercus,species,大卷尾,KL_Avian_0000130,Animalia,Chordata,Aves,Passeriformes,Dicruridae,Dicrurus, 
Dicrurus leucophaeus,species,灰卷尾,KL_Avian_0000131,Animalia,Chordata,Aves,Passeriformes,Dicruridae,Dicrurus, 
Dicrurus hottentottus,species,髮冠卷尾,KL_Avian_0000132,Animalia,Chordata,Aves,Passeriformes,Dicruridae,Dicrurus, 
Terpsiphone atrocaudata,species,紫綬帶,KL_Avian_0000133,Animalia,Chordata,Aves,Passeriformes,Monarchidae,Terpsiphone, 
Lanius bucephalus,species,紅頭伯勞,KL_Avian_0000134,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius, 
Lanius cristatus,species,紅尾伯勞,KL_Avian_0000135,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius, 
Lanius schach,species,棕背伯勞,KL_Avian_0000136,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius, 
Corvus corone,species,小嘴烏鴉,KL_Avian_0000137,Animalia,Chordata,Aves,Passeriformes,Corvidae,Corvus, 
Alauda arvensis,species,歐亞雲雀,KL_Avian_0000138,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alauda, 
Alauda gulgula,species,小雲雀,KL_Avian_0000139,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Alauda, 
Alauda,genus,雲雀屬,KL_Avian_0000140,,,,,,, 
Cisticola juncidis,species,棕扇尾鶯,KL_Avian_0000141,Animalia,Chordata,Aves,Passeriformes,Cisticolidae,Cisticola, 
Acrocephalus bistrigiceps,species,雙眉葦鶯,KL_Avian_0000142,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus, 
Acrocephalus orientalis,species,東方大葦鶯,KL_Avian_0000143,Animalia,Chordata,Aves,Passeriformes,Acrocephalidae,Acrocephalus, 
Locustella lanceolata,species,茅斑蝗鶯,KL_Avian_0000144,Animalia,Chordata,Aves,Passeriformes,Locustellidae,Locustella, 
Locustella certhiola,species,小蝗鶯,KL_Avian_0000145,Animalia,Chordata,Aves,Passeriformes,Locustellidae,Locustella, 
Locustella ochotensis,species,北蝗鶯,KL_Avian_0000146,Animalia,Chordata,Aves,Passeriformes,Locustellidae,Locustella, 
Riparia chinensis,species,棕沙燕,KL_Avian_0000147,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Riparia, 
Riparia riparia,species,灰沙燕,KL_Avian_0000148,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Riparia, 
Hirundo rustica,species,家燕,KL_Avian_0000149,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo, 
Hirundo tahitica,species,洋燕,KL_Avian_0000150,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo, 
Cecropis daurica,species,金腰燕,KL_Avian_0000151,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Cecropis, 
Delichon dasypus,species,東方毛腳燕,KL_Avian_0000152,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Delichon, 
Pycnonotus sinensis,species,白頭翁,KL_Avian_0000153,Animalia,Chordata,Aves,Passeriformes,Pycnonotidae,Pycnonotus, 
Hypsipetes amaurotis,species,棕耳鵯,KL_Avian_0000154,Animalia,Chordata,Aves,Passeriformes,Pycnonotidae,Hypsipetes, 
Phylloscopus inornatus,species,黃眉柳鶯,KL_Avian_0000155,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus, 
Phylloscopus proregulus,species,黃腰柳鶯,KL_Avian_0000156,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus, 
Phylloscopus fuscatus,species,褐色柳鶯,KL_Avian_0000157,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus, 
Phylloscopus ijimae,species,飯島柳鶯,KL_Avian_0000158,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus, 
Phylloscopus tenellipes,species,淡腳柳鶯,KL_Avian_0000159,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus, 
Phylloscopus,genus,極北柳鶯複合群,KL_Avian_0000160,,,,,,, 
Phylloscopus coronatus,species,冠羽柳鶯,KL_Avian_0000161,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus, 
Phylloscopus,genus,冠紋柳鶯複合群,KL_Avian_0000162,,,,,,, 
Urosphena squameiceps,species,短尾鶯,KL_Avian_0000163,Animalia,Chordata,Aves,Passeriformes,Cettiidae,Urosphena, 
Horornis canturians,species,遠東樹鶯,KL_Avian_0000164,Animalia,Chordata,Aves,Passeriformes,Cettiidae,Horornis, 
Horornis,genus,短翅樹鶯複合群,KL_Avian_0000165,,,,,,, 
Zosterops simplex,species,斯氏繡眼,KL_Avian_0000166,Animalia,Chordata,Aves,Passeriformes,Zosteropidae,Zosterops, 
Zosterops japonicus,species,日菲繡眼,KL_Avian_0000167,Animalia,Chordata,Aves,Passeriformes,Zosteropidae,Zosterops, 
Sturnus vulgaris,species,歐洲椋鳥,KL_Avian_0000168,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus, 
Agropsar philippensis,species,小椋鳥,KL_Avian_0000169,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Agropsar, 
Sturnia sinensis,species,灰背椋鳥,KL_Avian_0000170,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnia, 
Spodiopsar sericeus,species,絲光椋鳥,KL_Avian_0000171,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Spodiopsar, 
Spodiopsar cineraceus,species,灰椋鳥,KL_Avian_0000172,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Spodiopsar, 
Acridotheres tristis,species,家八哥,KL_Avian_0000173,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres, 
Acridotheres javanicus,species,白尾八哥,KL_Avian_0000174,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres, 
Acridotheres cristatellus,species,八哥,KL_Avian_0000175,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres, 
Zoothera aurea,species,白氏地鶇,KL_Avian_0000176,Animalia,Chordata,Aves,Passeriformes,Turdidae,Zoothera, 
Turdus mandarinus,species,中國黑鶇,KL_Avian_0000177,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus, 
Turdus cardis,species,烏灰鶇,KL_Avian_0000178,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus, 
Turdus hortulorum,species,灰背鶇,KL_Avian_0000179,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus, 
Turdus obscurus,species,白眉鶇,KL_Avian_0000180,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus, 
Turdus chrysolaus,species,赤腹鶇,KL_Avian_0000181,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus, 
Turdus pallidus,species,白腹鶇,KL_Avian_0000182,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus, 
Turdus ruficollis,species,赤頸鶇,KL_Avian_0000183,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus, 
Turdus eunomus,species,斑點鶇,KL_Avian_0000184,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus, 
Muscicapa griseisticta,species,灰斑鶲,KL_Avian_0000185,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Muscicapa, 
Muscicapa sibirica,species,烏鶲,KL_Avian_0000186,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Muscicapa, 
Muscicapa ferruginea,species,紅尾鶲,KL_Avian_0000187,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Muscicapa, 
Muscicapa dauurica,species,寬嘴鶲,KL_Avian_0000188,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Muscicapa, 
Cyanoptila cyanomelana,species,白腹琉璃,KL_Avian_0000189,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Cyanoptila, 
Larvivora sibilans,species,紅尾歌鴝,KL_Avian_0000190,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Larvivora, 
Larvivora komadori,species,琉球歌鴝,KL_Avian_0000191,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Erithacus, 
Larvivora cyane,species,藍歌鴝,KL_Avian_0000192,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Luscinia, 
Luscinia svecica,species,藍喉鴝,KL_Avian_0000193,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Luscinia, 
Calliope calliope,species,野鴝,KL_Avian_0000194,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Luscinia, 
Tarsiger cyanurus,species,藍尾鴝,KL_Avian_0000195,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Tarsiger, 
Ficedula zanthopygia,species,白眉鶲,KL_Avian_0000196,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula, 
